iter	Passed	Remaining
739	14008	4921
740	14020	4900
741	14033	4879
742	14046	4858
743	14059	4837
744	14071	4816
745	14085	4795
746	14097	4774
747	14111	4754
748	14123	4733
749	14136	4712
750	14149	4691
751	14161	4670
752	14175	4649
753	14188	4629
754	14201	4608
755	14214	4587
756	14227	4566
757	14240	4546
758	14252	4525
759	14265	4504
760	14278	4484
761	14291	4463
762	14305	4443
763	14317	4422
764	14331	4402
765	14343	4381
766	14356	4361
767	14369	4340
768	14382	4320
769	14394	4299
770	14407	4279
771	14420	4258
772	14433	4238
773	14448	4218
774	14461	4198
775	14474	4178
776	14487	4157
777	14500	4137
778	14513	4117
779	14531	4098
780	14547	4079
781	14561	4059
782	14575	4039
783	14589	4019
784	14603	3999
785	14617	3979
786	14631	3959
787	14644	3940
788	14658	3920
789	14673	3900
790	14687	3880
791	14701	3861
792	14715	3841
793	14729	3821
794	14743	3801
795	14757	3782
796	14772	3762
797	14785	3742
798	14799	3723
799	14812	3703
800	14825	3683
801	14838	3663
802	14850	3643
803	14864	3623
804	14877	3603
805	14890	3583
806	14903	3564
807	14916	3544
808	14929	3524
809	14942	3505
810	14957	3485
811	14970	3466
812	14983	3446
813	14998	3427
814	15013	3407
815	15026	3388
816	15038	3368
817	15051	3348
818	15065	3329
819	15078	3309
820	15091	3290
821	15104	3270
822	15117	3251
823	15130	3231
824	15142	3212
825	15156	3192
826	15169	3173
827	15183	3153
828	15196	3134
829	15209	3115
830	15222	3095
831	15236	3076
832	15249	3057
833	15262	3037
834	15275	3018
835	15288	2999
836	15301	2979
837	15314	2960
838	15327	2941
839	15340	2921
840	15354	2902
841	15367	2883
842	15379	2864
843	15392	2845
844	15404	2825
845	15417	2806
846	15430	2787
847	15443	2768
848	15456	2749
849	15471	2730
850	15484	2711
851	15498	2692
852	15514	2673
853	15529	2654
854	15544	2636
855	15558	2617
856	15572	2598
857	15586	2579
858	15601	2560
859	15615	2542
860	15631	2523
861	15646	2504
862	15662	2486
863	15678	2467
864	15693	2449
865	15708	2430
866	15722	2411
867	15737	2393
868	15752	2374
869	15767	2356
870	15781	2337
871	15795	2318
872	15809	2299
873	15820	2280
874	15833	2261
875	15846	2243
876	15860	2224
877	15873	2205
878	15885	2186
879	15898	2168
880	15911	2149
881	15924	2130
882	15937	2111
883	15950	2093
884	15963	2074
885	15975	2055
886	15988	2036
887	16001	2018
888	16014	1999
889	16026	1980
890	16039	1962
891	16053	1943
892	16066	1925
893	16079	1906
894	16091	1887
895	16104	1869
896	16116	1850
897	16129	1832
898	16142	1813
899	16155	1795
900	16168	1776
901	16180	1757
902	16193	1739
903	16204	1720
904	16217	1702
905	16230	1683
906	16242	1665
907	16255	1647
908	16268	1628
909	16281	1610
910	16293	1591
911	16307	1573
912	16321	1555
913	16334	1536
914	16346	1518
915	16360	1500
916	16373	1481
917	16385	1463
918	16398	1445
919	16411	1427
920	16425	1408
921	16438	1390
922	16454	1372
923	16472	1354
924	16487	1336
925	16500	1318
926	16514	1300
927	16526	1282
928	16541	1264
929	16555	1246
930	16567	1227
931	16580	1209
932	16594	1191
933	16608	1173
934	16621	1155
935	16634	1137
936	16648	1119
937	16661	1101
938	16674	1083
939	16686	1065
940	16699	1047
941	16712	1029
942	16726	1011
943	16740	993
944	16755	975
945	16768	957
946	16782	939
947	16797	921
948	16812	903
949	16824	885
950	16840	867
951	16854	849
952	16868	831
953	16881	814
954	16896	796
955	16910	778
956	16925	760
957	16939	742
958	16954	724
959	16969	707
960	16982	689
961	16996	671
962	17009	653
963	17023	635
964	17036	617
965	17050	600
966	17063	582
967	17076	564
968	17089	546
969	17104	529
970	17117	511
971	17130	493
972	17145	475
973	17159	458
974	17173	440
975	17189	422
976	17205	405
977	17219	387
978	17234	369
979	17249	352
980	17263	334
981	17276	316
982	17289	299
983	17304	281
984	17317	263
985	17332	246
986	17346	228
987	17360	210
988	17384	193
989	17398	175
990	17413	158
991	17427	140
992	17440	122
993	17453	105
994	17466	87
995	17480	70
996	17495	52
997	17510	35
998	17525	17
999	17540	0
